context,radius,draws,seed,class_map_preserved_rate,equilibrium_set_preserved_rate,malicious_ne_rate,coexisting_I_M_ne_rate
business,0.25,2000,20260622,1,0,0.4965,0
business,0.5,2000,20260622,1,0,0.474,0
business,0.75,2000,20260622,1,0,0.4615,0
business,0.99,2000,20260622,1,0,0.444,0
business,1.01,2000,20260622,0.9895,0,0.443,0
business,1.5,2000,20260622,0.713,0,0.379,0
classroom,0.25,2000,20260622,1,1,0,0
classroom,0.5,2000,20260622,1,1,0,0
classroom,0.75,2000,20260622,1,0.974,0,0
classroom,0.99,2000,20260622,1,0.943,0,0
classroom,1.01,2000,20260622,0.9925,0.9325,0,0
classroom,1.5,2000,20260622,0.706,0.835,0,0
sport,0.25,2000,20260622,1,1,0,0
sport,0.5,2000,20260622,1,1,0,0
sport,0.75,2000,20260622,1,0.945,0,0
sport,0.99,2000,20260622,1,0.878,0,0
sport,1.01,2000,20260622,0.9885,0.862,0,0
sport,1.5,2000,20260622,0.687,0.7695,0,0
